2018 Medicare Spent,2019 Medicare Spent,2020 Medicare Spent,2021 Medicare Spent,2022 Medicare Spent
198689.72,139611.14,147721.16999999998,157814.59999999998,150145.01
201122.11000000002,209962.09,143259.15,121299.17,94962.40000000001
425.62,395.89,321.75,461.46,210.72
0.0,0.0,12508806.89,82575004.94,303322612.69
133.45,57.16,425.25,904.4200000000001,1932.27
360403.06,242579.87,37266.11,75718.11,97163.37
70392819.53,114134958.2,176612564.64000002,224476443.67000002,211865506.49
0.0,0.0,0.0,468574.58,854406.5
5419471.53,5753330.4,6355566.86,4185732.54,3240354.49
78786257.21000001,161119269.0,193004881.1,197719984.75,234183770.43
0.0,0.0,0.0,26481757.02,47943573.38
24252445.0,72312893.02,112897132.35,131939761.62,148466202.51
1709285307.1799998,1819489793.44,1731073595.34,1234258521.18,913954236.7
10983611.81,10552749.35,9407504.88,8642617.13,8056429.24
0.0,0.0,18933231.93,118402787.48,276493155.34
49457756.57,55196171.91,64123065.09,54746006.14,45831812.9
1073.79,589.31,1270.48,964.19,1023.29
40900044.46,98715744.82,83595748.75,68878622.83,55100332.43
215680.1,534927.57,729417.87,856592.73,238973.82
0.0,0.0,0.0,0.0,336832.58
170766868.55,164039498.94,156491868.17,186493545.74,235336219.84
0.0,0.0,0.0,9020923.67,30108130.01
0.0,0.0,6909824.0,15536747.39,32282508.81
401.44,470.67,327.03,365.98,585.29
5978474412.62,7179785625.24,8732761936.87,10538410597.52,12917329036.26
0.0,2987.99,2081804.5599999998,802423.55,356724.93
82367256.53999999,95101277.36,88371603.02,120239040.97999999,83556577.08
206079284.18,269584467.13,326350800.82,356198554.87,393420160.63
0.0,0.0,1341.77,40840.42,43286.86
0.0,0.0,0.0,0.0,249.72
0.0,9872901.41,13295814.92,9050194.44,6434035.49
0.0,0.0,0.0,59571.16,243551.43
403894861.48,507146377.19,602451456.75,631195808.55,636714673.22
225538.1,206383.73,347316.35,194877.71,182460.34
31196.78,43872.08,62328.0,59052.51,51663.619999999995
2237.14,4179.68,4799.28,6006.62,5217.64
0.0,0.0,0.0,0.0,2522852.07
704913105.33,656177439.78,755589822.74,882915695.62,1128786636.1200001
9071.380000000001,6775.65,2399.43,2404.49,1876.02
1868130.59,6638053.05,11192539.48,11061449.870000001,12212590.91
577061.62,442385.33,266180.01,162378.0,38203.75
2330.51,0.0,1894.1,1767.38,1796.16
21540.82,20493.57,15404.07,13143.060000000001,15800.06
27347.14,25218.17,28371.04,19870.05,16941.1
93125740.07000001,103230390.63,77450342.12,89005660.11,104118703.55
30798308.270000003,33005338.83,34728982.74,36370936.75,32220402.7
175867.74,358268.96,843952.15,1669514.27,8573384.47
0.0,0.0,0.0,18804.59,347993.77999999997
0.0,59859319.81,79392496.11,92703276.21,126614541.84
318260884.85,400985073.67,274593311.36,9033522.95,4275592.56
5066942970.1,5975823072.650001,6987908593.58,7732015193.61,7973977223.54
0.0,1399.21,1145870.89,7395402.029999999,134915696.95
8932.67,8714.34,9541.51,6645.16,5551.76
61227398.78,49792572.28,44857861.29,43941186.09,44009195.72
2007.54,1378.84,1658.1,2200.3,505.75
0.0,0.0,0.0,335305.71,1394706.0
2048.15,1226.97,3029.4800000000005,2502.0099999999998,1806.6499999999999
164995.61000000002,170549.69,141050.99,116199.64,121263.62000000001
0.0,746097.74,16500682.63,16877018.8,10708700.88
0.0,0.0,0.0,195550.3,11726920.65
0.0,0.0,364152.52,4147457.81,4544439.27
3985627.16,3790508.18,8463759.14,23305564.73,54023093.73
1762684.74,6167497.449999999,3986019.41,7617821.35,12141853.25
