2018 Medicare Units Produced,2019 Medicare Units Produced,2020 Medicare Units Produced,2021 Medicare Units Produced,2022 Medicare Units Produced
19180.0,17972.0,16346.0,10630.0,10683.0
0.0,957.8,82345.082,408639.67,880278.037
374784.5,249049.5,264546.5,285114.0,271255.0
768269.0,815574.0,1407723.0,1043399.0,746299.0
22636.0,20890.0,20230.0,27010.0,13000.0
0.0,0.0,113696.0,729041.0,2587936.0
726.0,481.0,1225.0,1803.0,3056.0
3757028.0,2850986.0,421280.0,455575.0,497936.0
5216011.0,7406823.0,10861468.3,12879470.0,11531677.78
0.0,0.0,0.0,13320.0,26520.0
3111342.75,3447001.0,3932129.8,2794510.15,2303255.35
127859665.78299999,455511387.90999997,831319595.7,746718453.58,694901547.55
0.0,0.0,0.0,19348.0,34608.0
2948851.0,7641450.0,10694158.0,11440340.0,11804067.2
8284904.0,8584627.0,7875275.498,5669434.5,4232957.85
1607.0,1498.0,1313.5,1167.5,1039.5
0.0,0.0,173683.0,1024598.067,2300649.4
456833.0,463521.5,443971.5,312747.5,205851.0
10881.0,6104.0,10516.0,9809.0,10034.0
43586246.08,73402703.303,70116066.056,80093219.502,67548792.128
1440188.0,3604588.0,5124742.95,6205115.0,1730353.0
0.0,0.0,0.0,0.0,3804.0
496618695.867,509469793.947,534730314.239,590152007.314,676198375.638
0.0,0.0,0.0,327438.0,1002374.0
0.0,0.0,6393.0,13594.0,27219.0
2213.0,2499.0,1724.0,1920.0,3030.0
376342142.221,411378625.11800003,453947851.635,507772710.423,600531147.982
0.0,536.0,738884.0,273247.0,125073.0
362893742.87,397522586.7,409637847.577,474149362.399,310308123.53999996
294707215.85099995,471377280.718,611218072.388,642999188.526,520286148.59900004
0.0,0.0,5929.0,86856.0,82812.0
0.0,0.0,0.0,0.0,2984.0
0.0,1533897.8,4081395.42,5109403.8,3001940.725
0.0,0.0,0.0,67805.0,280374.25
109944010.25,105193134.44,104655380.0,82789902.0,72180494.16
8400.0,7800.0,12000.0,6450.0,5800.0
1516089.0,2145168.0,3156561.0,2873740.0,2460554.0
7385.0,13568.0,14204.0,15299.0,13749.0
0.0,0.0,0.0,0.0,20544.0
1564308919.509,1744897499.292,2380778428.82,2620011320.823,3096136120.424
50525.0,41690.0,19292.0,17448.0,9947.0
182769.0,1301819.5,2288250.0,2694681.5,1478974.5
2659793.0,1997221.0,1210036.0,728868.0,167912.0
1030.0,0.0,780.0,720.0,720.0
288659.0,254282.0,185647.0,146478.0,143050.0
10731.0,9893.0,11351.0,8022.0,6493.0
831831042.819,970854348.654,825367672.919,932510196.5780001,969774093.7509999
166462934.628,164278019.492,172176482.935,166192297.414,150291015.794
45920.0,89572.0,95962.0,116311.0,326535.0
0.0,0.0,0.0,4994.0,93870.5
0.0,337053.0,418572.0,461160.0,600170.0
5808922.0,6957241.0,4536746.0,136709.0,58546.0
7207390.0,7935892.992000001,8817208.0,9238120.0,9084710.0
0.0,3943.0,1285117.0,18186309.5,60260220.0
5280.0,5250.0,5700.0,4230.0,3420.0
